date,fund_label,scheme_code,scheme_name,nav,source,source_quality
2018-03-01,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.2953,MFAPI,CACHE_FRESH
2018-03-05,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.6741,MFAPI,CACHE_FRESH
2018-03-06,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.1862,MFAPI,CACHE_FRESH
2018-03-07,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.2746,MFAPI,CACHE_FRESH
2018-03-08,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.2548,MFAPI,CACHE_FRESH
2018-03-09,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.0759,MFAPI,CACHE_FRESH
2018-03-12,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.2889,MFAPI,CACHE_FRESH
2018-03-13,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.5957,MFAPI,CACHE_FRESH
2018-03-14,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.5948,MFAPI,CACHE_FRESH
2018-03-15,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.8942,MFAPI,CACHE_FRESH
2018-03-16,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.576,MFAPI,CACHE_FRESH
2018-03-19,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,45.741,MFAPI,CACHE_FRESH
2018-03-20,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,45.5977,MFAPI,CACHE_FRESH
2018-03-21,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,45.728,MFAPI,CACHE_FRESH
2018-03-22,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,45.3198,MFAPI,CACHE_FRESH
2018-03-23,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,44.787,MFAPI,CACHE_FRESH
2018-03-26,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,45.0479,MFAPI,CACHE_FRESH
2018-03-27,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,45.7414,MFAPI,CACHE_FRESH
2018-03-28,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,45.521,MFAPI,CACHE_FRESH
2018-04-02,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.6006,MFAPI,CACHE_FRESH
2018-04-03,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.2211,MFAPI,CACHE_FRESH
2018-04-04,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.7022,MFAPI,CACHE_FRESH
2018-04-05,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.6702,MFAPI,CACHE_FRESH
2018-04-06,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.8196,MFAPI,CACHE_FRESH
2018-04-09,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.9279,MFAPI,CACHE_FRESH
2018-04-10,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.933,MFAPI,CACHE_FRESH
2018-04-11,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.8688,MFAPI,CACHE_FRESH
2018-04-12,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.7614,MFAPI,CACHE_FRESH
2018-04-13,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.8484,MFAPI,CACHE_FRESH
2018-04-16,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.882,MFAPI,CACHE_FRESH
2018-04-17,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.0276,MFAPI,CACHE_FRESH
2018-04-18,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.9484,MFAPI,CACHE_FRESH
2018-04-19,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.3532,MFAPI,CACHE_FRESH
2018-04-20,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.5327,MFAPI,CACHE_FRESH
2018-04-23,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.9497,MFAPI,CACHE_FRESH
2018-04-24,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,49.1138,MFAPI,CACHE_FRESH
2018-04-25,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.6103,MFAPI,CACHE_FRESH
2018-04-26,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.6503,MFAPI,CACHE_FRESH
2018-04-27,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.9585,MFAPI,CACHE_FRESH
2018-04-30,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,49.2901,MFAPI,CACHE_FRESH
2018-05-02,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.9031,MFAPI,CACHE_FRESH
2018-05-03,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.3412,MFAPI,CACHE_FRESH
2018-05-04,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.201,MFAPI,CACHE_FRESH
2018-05-07,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.3812,MFAPI,CACHE_FRESH
2018-05-08,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.47,MFAPI,CACHE_FRESH
2018-05-09,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,48.3911,MFAPI,CACHE_FRESH
2018-05-10,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.7912,MFAPI,CACHE_FRESH
